project,filePath,methodName,halsteadLength,halsteadVocabulary,halsteadVolume,entropy
compile-testing,/compile-testing/src/test/java/com/google/testing/compile/TreeDifferenceTest.java,getExtraExpectedNodes,82,20,354.39810378076373,3.3390396142518166
compile-testing,/compile-testing/src/test/java/com/google/testing/compile/TreeDifferenceTest.java,getExtraActualNodes,82,20,354.39810378076373,3.339039614251817
compile-testing,/compile-testing/src/test/java/com/google/testing/compile/TreeDifferenceTest.java,getDifferingNodes,82,20,354.39810378076373,3.3390396142518166
compile-testing,/compile-testing/src/test/java/com/google/testing/compile/TreeDifferenceTest.java,getDiffReport_NoContext,134,26,629.8589222309064,3.3911168524849264
compile-testing,/compile-testing/src/test/java/com/google/testing/compile/TreeDifferenceTest.java,getDiffReport_WithContext,211,27,1003.281262956492,3.2104124500652906
compile-testing,/compile-testing/src/test/java/com/google/testing/compile/TreeDifferenceTest.java,getDiffReport_emptyElementContext,88,29,427.5023275712264,4.306758832235821
compile-testing,/compile-testing/src/test/java/com/google/testing/compile/TreeContextTest.java,getPositionInfo,67,21,294.28526732617695,3.378083149497053
compile-testing,/compile-testing/src/test/java/com/google/testing/compile/TreeContextTest.java,getPositionInfo_invalid,80,22,356.75452949098377,3.8155978660134906
compile-testing,/compile-testing/src/test/java/com/google/testing/compile/TreeContextTest.java,getNodePath,24,15,93.76537429460444,3.484697002530878
compile-testing,/compile-testing/src/test/java/com/google/testing/compile/TreeContextTest.java,getNodePath_invalid,26,19,110.44611534953322,3.9941117190410806
compile-testing,/compile-testing/src/test/java/com/google/testing/compile/CompilationTest.java,compiler,64,25,297.20679614558236,4.010950535378986
compile-testing,/compile-testing/src/test/java/com/google/testing/compile/CompilationTest.java,compilerStatusFailure,66,29,320.6267456784198,4.139526775564258
compile-testing,/compile-testing/src/test/java/com/google/testing/compile/CompilationTest.java,generatedFilePath,35,23,158.32466846199546,4.243010159554855
compile-testing,/compile-testing/src/test/java/com/google/testing/compile/CompilationTest.java,generatedFilePackage,36,24,165.05865002596164,4.308270834535259
compile-testing,/compile-testing/src/test/java/com/google/testing/compile/CompilationTest.java,generatedSourceFile,34,21,149.33879237447786,4.1162996057016965
compile-testing,/compile-testing/src/test/java/com/google/testing/compile/CompilationTest.java,generatedFiles_unsuccessfulCompilationThrows,52,33,262.3084942066396,4.622764717808252
compile-testing,/compile-testing/src/test/java/com/google/testing/compile/CompilationTest.java,describeFailureDiagnostics_includesWarnings_whenCompilingWerror,58,33,292.57485892279027,4.550248729059223
compile-testing,/compile-testing/src/test/java/com/google/testing/compile/JavaFileObjectsTest.java,forResource_inJarFile,64,27,304.312800138462,3.9837199870019524
compile-testing,/compile-testing/src/test/java/com/google/testing/compile/JavaFileObjectsTest.java,forSourceLines,49,34,249.28567922126666,4.800948558790163
compile-testing,/compile-testing/src/test/java/com/google/testing/compile/JavaFileObjectsTest.java,forSourceLinesWithoutName,30,24,137.5488750216347,4.415061012203069
compile-testing,/compile-testing/src/test/java/com/google/testing/compile/CompilerTest.java,options,71,37,369.87118895965546,4.6966039746627954
compile-testing,/compile-testing/src/test/java/com/google/testing/compile/CompilerTest.java,multipleProcesors,116,30,569.1993090905881,4.226774216363776
compile-testing,/compile-testing/src/test/java/com/google/testing/compile/CompilerTest.java,multipleProcesors_asIterable,117,30,574.1061996861966,4.168214247956872
compile-testing,/compile-testing/src/test/java/com/google/testing/compile/CompilerTest.java,classPath_default,32,23,144.75398259382442,4.241729296672174
compile-testing,/compile-testing/src/test/java/com/google/testing/compile/CompilerTest.java,classPath_empty,40,27,190.19550008653877,4.331687083026441
compile-testing,/compile-testing/src/test/java/com/google/testing/compile/CompilerTest.java,classPath_customFiles,51,32,255.0,4.506073509513378
compile-testing,/compile-testing/src/test/java/com/google/testing/compile/CompilerTest.java,classPath_empty_urlClassLoader,46,32,230.0,4.61900455443882
compile-testing,/compile-testing/src/test/java/com/google/testing/compile/CompilerTest.java,classPath_customFiles_urlClassLoader,60,36,310.19550008653874,4.616458562854842
compile-testing,/compile-testing/src/test/java/com/google/testing/compile/CompilerTest.java,annotationProcessorPath_empty,74,37,385.4995490565423,4.43822799770017
compile-testing,/compile-testing/src/test/java/com/google/testing/compile/CompilerTest.java,annotationProcessorPath_customFiles,56,32,280.0,4.480240452209379
compile-testing,/compile-testing/src/test/java/com/google/testing/compile/CompilerTest.java,readInputFile,169,71,1039.3072631962914,5.363290780269341
compile-testing,/compile-testing/src/test/java/com/google/testing/compile/CompilerTest.java,releaseFlag,39,25,181.11039140121426,4.17555061590983
compile-testing,/compile-testing/src/test/java/com/google/testing/compile/TreeDifferTest.java,scan_differingCompilationUnits,245,61,1453.0306477029073,4.788945063145732
compile-testing,/compile-testing/src/test/java/com/google/testing/compile/TreeDifferTest.java,scan_testExtraFields,46,19,195.40466561840492,3.8705380426372793
compile-testing,/compile-testing/src/test/java/com/google/testing/compile/TreeDifferTest.java,scan_sameCompilationUnit,22,15,85.95159310338741,3.624680346973647
compile-testing,/compile-testing/src/test/java/com/google/testing/compile/TreeDifferTest.java,scan_identicalMethods,24,16,96.0,3.5680303358642114
compile-testing,/compile-testing/src/test/java/com/google/testing/compile/TreeDifferTest.java,scan_differentTypes,53,28,254.78981086905299,4.2150749929144435
compile-testing,/compile-testing/src/test/java/com/google/testing/compile/TreeDifferTest.java,scan_testTwoNullIterableTrees,50,27,237.74437510817344,4.236245381622648
compile-testing,/compile-testing/src/test/java/com/google/testing/compile/TreeDifferTest.java,scan_testExpectedNullIterableTree,27,19,114.6940428629768,4.000645725252348
compile-testing,/compile-testing/src/test/java/com/google/testing/compile/TreeDifferTest.java,scan_testActualNullIterableTree,27,19,114.6940428629768,4.000645725252348
compile-testing,/compile-testing/src/test/java/com/google/testing/compile/TreeDifferTest.java,scan_testLambdas,27,19,114.6940428629768,4.000645725252348
compile-testing,/compile-testing/src/test/java/com/google/testing/compile/TreeDifferTest.java,scan_testLambdasExplicitVsImplicit,27,19,114.6940428629768,4.000645725252348
compile-testing,/compile-testing/src/test/java/com/google/testing/compile/TreeDifferTest.java,scan_testLambdasParensVsNone,27,19,114.6940428629768,4.000645725252348
compile-testing,/compile-testing/src/test/java/com/google/testing/compile/TreeDifferTest.java,scan_testLambdaVersusMethodReference,27,19,114.6940428629768,4.000645725252348
compile-testing,/compile-testing/src/test/java/com/google/testing/compile/TreeDifferTest.java,scan_testLambdaVersusAnonymousClass,27,19,114.6940428629768,4.000645725252348
compile-testing,/compile-testing/src/test/java/com/google/testing/compile/TreeDifferTest.java,scan_testTryWithResources,27,18,112.58797503894243,3.9265716511782744
compile-testing,/compile-testing/src/test/java/com/google/testing/compile/TreeDifferTest.java,scan_testTryWithResourcesDifferent,27,19,114.6940428629768,4.000645725252348
compile-testing,/compile-testing/src/test/java/com/google/testing/compile/TreeDifferTest.java,scan_testAnnotatedType,27,18,112.58797503894243,3.9265716511782744
compile-testing,/compile-testing/src/test/java/com/google/testing/compile/TreeDifferTest.java,scan_testAnnotatedTypeDifferent,27,19,114.6940428629768,4.000645725252348
compile-testing,/compile-testing/src/test/java/com/google/testing/compile/TreeDifferTest.java,scan_testMulticatch,27,18,112.58797503894243,3.9265716511782744
compile-testing,/compile-testing/src/test/java/com/google/testing/compile/TreeDifferTest.java,scan_testMulticatchDifferent,27,19,114.6940428629768,4.000645725252348
compile-testing,/compile-testing/src/test/java/com/google/testing/compile/TreeDifferTest.java,matchCompilationUnits,106,46,585.4975673420433,5.039680344560219
compile-testing,/compile-testing/src/test/java/com/google/testing/compile/TreeDifferTest.java,matchCompilationUnits_unresolvedTypeInPattern,73,31,361.6563306582419,4.468528786859895
compile-testing,/compile-testing/src/test/java/com/google/testing/compile/TreeDifferTest.java,matchCompilationUnits_sameSignature_differentReturnType,70,31,346.7937417270813,4.430715819012032
compile-testing,/compile-testing/src/test/java/com/google/testing/compile/TreeDifferTest.java,matchCompilationUnits_sameSignature_differentParameterNames,70,31,346.7937417270813,4.430715819012032
compile-testing,/compile-testing/src/test/java/com/google/testing/compile/TreeDifferTest.java,matchCompilationUnits_sameSignature_differentParameters,70,31,346.7937417270813,4.430715819012032
compile-testing,/compile-testing/src/test/java/com/google/testing/compile/TreeDifferTest.java,matchCompilationUnits_sameSignature_differentModifiers,70,31,346.7937417270813,4.430715819012032
compile-testing,/compile-testing/src/test/java/com/google/testing/compile/TreeDifferTest.java,matchCompilationUnits_sameSignature_differentThrows,70,31,346.7937417270813,4.430715819012032
compile-testing,/compile-testing/src/test/java/com/google/testing/compile/TreeDifferTest.java,matchCompilationUnits_variablesWithDifferentTypes,70,31,346.7937417270813,4.430715819012032
compile-testing,/compile-testing/src/test/java/com/google/testing/compile/TreeDifferTest.java,matchCompilationUnits_importsWithSameSimpleName,85,34,432.4343415062789,4.4954740151012205
compile-testing,/compile-testing/src/test/java/com/google/testing/compile/TreeDifferTest.java,matchCompilationUnits_wrongOrder,73,31,361.6563306582419,4.478869711547067
compile-testing,/compile-testing/src/test/java/com/google/testing/compile/TreeDifferTest.java,matchCompilationUnits_missingParameter,82,34,417.1719529825279,4.47117470842173
compile-testing,/compile-testing/src/test/java/com/google/testing/compile/TreeDifferTest.java,matchCompilationUnits_missingMethodBodyStatement,77,34,391.7346387762762,4.618738438677948
compile-testing,/compile-testing/src/test/java/com/google/testing/compile/TreeDifferTest.java,matchCompilationUnits_skipsImports,73,31,361.6563306582419,4.468528786859895
compile-testing,/compile-testing/src/test/java/com/google/testing/compile/JarFileResourcesCompilationTest.java,compilesResourcesInJarFiles,38,25,176.46653521143952,4.139007369037859
compile-testing,/compile-testing/src/test/java/com/google/testing/compile/JavaSourcesSubjectFactoryTest.java,compilesWithoutError,42,23,189.98960215439456,4.021274353124621
compile-testing,/compile-testing/src/test/java/com/google/testing/compile/JavaSourcesSubjectFactoryTest.java,compilesWithoutWarnings,19,13,70.30835464468075,3.4263674884732285
compile-testing,/compile-testing/src/test/java/com/google/testing/compile/JavaSourcesSubjectFactoryTest.java,compilesWithoutError_warnings,67,31,331.9311527959207,4.015966109319096
compile-testing,/compile-testing/src/test/java/com/google/testing/compile/JavaSourcesSubjectFactoryTest.java,compilesWithoutWarnings_failsWithWarnings,56,31,277.43499338166504,4.203280184274969
compile-testing,/compile-testing/src/test/java/com/google/testing/compile/JavaSourcesSubjectFactoryTest.java,compilesWithoutError_noWarning,71,35,364.17909420309263,4.2334392827304566
compile-testing,/compile-testing/src/test/java/com/google/testing/compile/JavaSourcesSubjectFactoryTest.java,compilesWithoutError_warningNotInFile,91,40,484.29545663475,4.347172361050646
compile-testing,/compile-testing/src/test/java/com/google/testing/compile/JavaSourcesSubjectFactoryTest.java,compilesWithoutError_warningNotOnLine,94,44,513.1865721519059,4.484199198459844
compile-testing,/compile-testing/src/test/java/com/google/testing/compile/JavaSourcesSubjectFactoryTest.java,compilesWithoutError_warningNotAtColumn,100,47,555.4588851677638,4.5631691486492665
compile-testing,/compile-testing/src/test/java/com/google/testing/compile/JavaSourcesSubjectFactoryTest.java,compilesWithoutError_wrongWarningCount,60,33,302.6636471615072,4.242221364830992
compile-testing,/compile-testing/src/test/java/com/google/testing/compile/JavaSourcesSubjectFactoryTest.java,compilesWithoutError_notes,74,33,373.28516483252554,4.029718151718397
compile-testing,/compile-testing/src/test/java/com/google/testing/compile/JavaSourcesSubjectFactoryTest.java,compilesWithoutError_noNote,71,35,364.17909420309263,4.2334392827304566
compile-testing,/compile-testing/src/test/java/com/google/testing/compile/JavaSourcesSubjectFactoryTest.java,compilesWithoutError_noteNotInFile,91,40,484.29545663475,4.347172361050646
compile-testing,/compile-testing/src/test/java/com/google/testing/compile/JavaSourcesSubjectFactoryTest.java,compilesWithoutError_noteNotOnLine,94,44,513.1865721519059,4.484199198459844
compile-testing,/compile-testing/src/test/java/com/google/testing/compile/JavaSourcesSubjectFactoryTest.java,compilesWithoutError_noteNotAtColumn,100,47,555.4588851677638,4.5631691486492665
compile-testing,/compile-testing/src/test/java/com/google/testing/compile/JavaSourcesSubjectFactoryTest.java,compilesWithoutError_wrongNoteCount,65,35,333.4033961014228,4.374286792344024
compile-testing,/compile-testing/src/test/java/com/google/testing/compile/JavaSourcesSubjectFactoryTest.java,compilesWithoutError_failureReportsFiles,75,29,364.34857463456797,3.975607898257763
compile-testing,/compile-testing/src/test/java/com/google/testing/compile/JavaSourcesSubjectFactoryTest.java,compilesWithoutError_throws,60,30,294.41343573651113,4.152271639611126
compile-testing,/compile-testing/src/test/java/com/google/testing/compile/JavaSourcesSubjectFactoryTest.java,compilesWithoutError_exceptionCreatedOrPassedThrough,59,28,283.6339404013986,4.201672339366354
compile-testing,/compile-testing/src/test/java/com/google/testing/compile/JavaSourcesSubjectFactoryTest.java,parsesAs,31,23,140.2304206377674,4.235981390822668
compile-testing,/compile-testing/src/test/java/com/google/testing/compile/JavaSourcesSubjectFactoryTest.java,parsesAs_expectedFileFailsToParse,45,26,211.51978731634918,4.132449467801363
compile-testing,/compile-testing/src/test/java/com/google/testing/compile/JavaSourcesSubjectFactoryTest.java,parsesAs_actualFileFailsToParse,45,26,211.51978731634918,4.132449467801363
compile-testing,/compile-testing/src/test/java/com/google/testing/compile/JavaSourcesSubjectFactoryTest.java,failsToCompile_throws,54,25,250.76823424783512,3.9513703012194235
compile-testing,/compile-testing/src/test/java/com/google/testing/compile/JavaSourcesSubjectFactoryTest.java,failsToCompile_throwsNoMessage,64,31,317.06856386476005,4.11236507332541
compile-testing,/compile-testing/src/test/java/com/google/testing/compile/JavaSourcesSubjectFactoryTest.java,failsToCompile_throwsNotInFile,93,39,491.54240635418915,4.358857833781851
compile-testing,/compile-testing/src/test/java/com/google/testing/compile/JavaSourcesSubjectFactoryTest.java,failsToCompile_throwsNotOnLine,92,42,496.09320289564596,4.479415533877352
compile-testing,/compile-testing/src/test/java/com/google/testing/compile/JavaSourcesSubjectFactoryTest.java,failsToCompile_throwsNotAtColumn,96,44,524.1054353891806,4.5093560852314925
compile-testing,/compile-testing/src/test/java/com/google/testing/compile/JavaSourcesSubjectFactoryTest.java,failsToCompile_wrongErrorCount,58,31,287.3433860024388,4.260825109803176
compile-testing,/compile-testing/src/test/java/com/google/testing/compile/JavaSourcesSubjectFactoryTest.java,failsToCompile_noWarning,71,35,364.17909420309263,4.233439282730456
compile-testing,/compile-testing/src/test/java/com/google/testing/compile/JavaSourcesSubjectFactoryTest.java,failsToCompile_warningNotInFile,91,40,484.29545663475,4.347172361050646
compile-testing,/compile-testing/src/test/java/com/google/testing/compile/JavaSourcesSubjectFactoryTest.java,failsToCompile_warningNotOnLine,94,44,513.1865721519059,4.4841991984598435
compile-testing,/compile-testing/src/test/java/com/google/testing/compile/JavaSourcesSubjectFactoryTest.java,failsToCompile_warningNotAtColumn,100,47,555.4588851677638,4.5631691486492665
compile-testing,/compile-testing/src/test/java/com/google/testing/compile/JavaSourcesSubjectFactoryTest.java,failsToCompile_wrongWarningCount,60,33,302.6636471615072,4.242221364830992
compile-testing,/compile-testing/src/test/java/com/google/testing/compile/JavaSourcesSubjectFactoryTest.java,failsToCompile_noNote,71,35,364.17909420309263,4.2334392827304566
compile-testing,/compile-testing/src/test/java/com/google/testing/compile/JavaSourcesSubjectFactoryTest.java,failsToCompile_noteNotInFile,91,40,484.29545663475,4.347172361050645
compile-testing,/compile-testing/src/test/java/com/google/testing/compile/JavaSourcesSubjectFactoryTest.java,failsToCompile_noteNotOnLine,94,44,513.1865721519059,4.4841991984598435
compile-testing,/compile-testing/src/test/java/com/google/testing/compile/JavaSourcesSubjectFactoryTest.java,failsToCompile_noteNotAtColumn,100,47,555.4588851677638,4.5631691486492665
compile-testing,/compile-testing/src/test/java/com/google/testing/compile/JavaSourcesSubjectFactoryTest.java,failsToCompile_wrongNoteCount,60,33,302.6636471615072,4.242221364830992
compile-testing,/compile-testing/src/test/java/com/google/testing/compile/JavaSourcesSubjectFactoryTest.java,failsToCompile,90,36,465.2932501298081,4.243273561701775
compile-testing,/compile-testing/src/test/java/com/google/testing/compile/JavaSourcesSubjectFactoryTest.java,generatesSources,41,22,182.83669636412918,3.79720643264157
compile-testing,/compile-testing/src/test/java/com/google/testing/compile/JavaSourcesSubjectFactoryTest.java,generatesSources_packageInfo,46,26,216.22022703449025,4.078776743848818
compile-testing,/compile-testing/src/test/java/com/google/testing/compile/JavaSourcesSubjectFactoryTest.java,generatesSources_failOnUnexpected,94,36,485.9729501355773,4.202761687686863
compile-testing,/compile-testing/src/test/java/com/google/testing/compile/JavaSourcesSubjectFactoryTest.java,generatesSources_failOnExtraExpected,103,38,540.5365338846893,4.166140552485949
compile-testing,/compile-testing/src/test/java/com/google/testing/compile/JavaSourcesSubjectFactoryTest.java,generatesSources_failOnExtraActual,102,37,531.3642432941529,4.127355955757587
compile-testing,/compile-testing/src/test/java/com/google/testing/compile/JavaSourcesSubjectFactoryTest.java,generatesSources_failWithNoCandidates,95,37,494.89806973475027,4.299702052082795
compile-testing,/compile-testing/src/test/java/com/google/testing/compile/JavaSourcesSubjectFactoryTest.java,generatesSources_failWithNoGeneratedSources,65,34,330.6850846812721,4.215229924226525
compile-testing,/compile-testing/src/test/java/com/google/testing/compile/JavaSourcesSubjectFactoryTest.java,generatesFileNamed,46,27,218.7248250995196,4.0231369558688845
compile-testing,/compile-testing/src/test/java/com/google/testing/compile/JavaSourcesSubjectFactoryTest.java,generatesFileNamed_failOnFileExistence,84,42,452.9546635134159,4.378109691827443
compile-testing,/compile-testing/src/test/java/com/google/testing/compile/JavaSourcesSubjectFactoryTest.java,generatesFileNamed_failOnFileContents,81,38,425.0821285889304,4.268284467896494
compile-testing,/compile-testing/src/test/java/com/google/testing/compile/JavaSourcesSubjectFactoryTest.java,withStringContents,39,24,178.81353752812512,3.9846571944212075
compile-testing,/compile-testing/src/test/java/com/google/testing/compile/JavaSourcesSubjectFactoryTest.java,passesOptions,86,36,444.61355012403885,4.285147819288315
compile-testing,/compile-testing/src/test/java/com/google/testing/compile/JavaSourcesSubjectFactoryTest.java,invokesMultipleProcesors,74,24,339.2872250533656,3.916139416177415
compile-testing,/compile-testing/src/test/java/com/google/testing/compile/JavaSourcesSubjectFactoryTest.java,invokesMultipleProcesors_asIterable,78,26,366.63429801500524,3.975685516755673
compile-testing,/compile-testing/src/test/java/com/google/testing/compile/CompilationRuleTest.java,testMethodsExecuteExactlyOnce,18,14,68.53238859703687,3.614369445886757
compile-testing,/compile-testing/src/test/java/com/google/testing/compile/CompilationRuleTest.java,getElements,19,13,70.30835464468075,3.5110854081804286
compile-testing,/compile-testing/src/test/java/com/google/testing/compile/CompilationRuleTest.java,getTypes,19,13,70.30835464468075,3.5110854081804286
compile-testing,/compile-testing/src/test/java/com/google/testing/compile/CompilationRuleTest.java,elementsAreValidAndWorking,44,25,204.32967235008786,4.16031208548434
compile-testing,/compile-testing/src/test/java/com/google/testing/compile/CompilationRuleTest.java,typeMirrorsAreValidAndWorking,102,34,518.9212098075346,4.204011517882354
compile-testing,/compile-testing/src/test/java/com/google/testing/compile/JavaFileObjectSubjectTest.java,hasContents,19,13,70.30835464468075,3.511085408180429
compile-testing,/compile-testing/src/test/java/com/google/testing/compile/JavaFileObjectSubjectTest.java,hasContents_failure,51,27,242.49926261033693,4.0586260767989835
compile-testing,/compile-testing/src/test/java/com/google/testing/compile/JavaFileObjectSubjectTest.java,contentsAsString,19,14,72.33974351909447,3.6163485660751657
compile-testing,/compile-testing/src/test/java/com/google/testing/compile/JavaFileObjectSubjectTest.java,contentsAsString_fail,76,32,380.0,4.138930383962539
compile-testing,/compile-testing/src/test/java/com/google/testing/compile/JavaFileObjectSubjectTest.java,hasSourceEquivalentTo,15,11,51.89147427955947,3.323231428797621
compile-testing,/compile-testing/src/test/java/com/google/testing/compile/JavaFileObjectSubjectTest.java,hasSourceEquivalentTo_unresolvedReferences,15,12,53.77443751081735,3.456564762130953
compile-testing,/compile-testing/src/test/java/com/google/testing/compile/JavaFileObjectSubjectTest.java,hasSourceEquivalentTo_failOnDifferences,76,34,386.6471759350258,4.1915619629099075
compile-testing,/compile-testing/src/test/java/com/google/testing/compile/JavaFileObjectSubjectTest.java,hasSourceEquivalentTo_failOnExtraInExpected,87,35,446.24762247421205,4.150170906244448
compile-testing,/compile-testing/src/test/java/com/google/testing/compile/JavaFileObjectSubjectTest.java,hasSourceEquivalentTo_failOnExtraInActual,87,35,446.24762247421205,4.150170906244448
compile-testing,/compile-testing/src/test/java/com/google/testing/compile/JavaFileObjectSubjectTest.java,containsElementsIn_completeMatch,15,12,53.77443751081735,3.4565647621309536
compile-testing,/compile-testing/src/test/java/com/google/testing/compile/JavaFileObjectSubjectTest.java,containsElementsIn_badActual,36,22,160.5395382709427,4.0588138903312005
compile-testing,/compile-testing/src/test/java/com/google/testing/compile/JavaFileObjectSubjectTest.java,containsElementsIn_badExpected,36,22,160.5395382709427,4.0588138903312005
optaplanner,/optaplanner-constraint-streams-bavet/src/test/java/org/optaplanner/constraint/streams/bavet/ScoreDirectorFactoryFactoryTest.java,constraintStreamsDroolsWithAlphaNetworkCompilationEnabledNoDrools_throws,0,0,0,0
optaplanner,/optaplanner-constraint-streams-bavet/src/test/java/org/optaplanner/constraint/streams/bavet/ScoreDirectorFactoryFactoryTest.java,constraintStreamsBavet,0,0,0,0
optaplanner,/optaplanner-constraint-streams-bavet/src/test/java/org/optaplanner/constraint/streams/bavet/NodeSharingTest.java,nodeSharingForEach,0,0,0,0
optaplanner,/optaplanner-constraint-streams-bavet/src/test/java/org/optaplanner/constraint/streams/bavet/NodeSharingTest.java,nodeSharingForEachUniquePair,0,0,0,0
optaplanner,/optaplanner-constraint-streams-bavet/src/test/java/org/optaplanner/constraint/streams/bavet/NodeSharingTest.java,nodeSharingForEachUniquePairAndOneMore,0,0,0,0
optaplanner,/optaplanner-constraint-streams-bavet/src/test/java/org/optaplanner/constraint/streams/bavet/BavetAdvancedGroupByConstraintStreamTest.java,collectedDowngradedAndFiltered,0,0,0,0
optaplanner,/optaplanner-constraint-streams-bavet/src/test/java/org/optaplanner/constraint/streams/bavet/BavetAdvancedGroupByConstraintStreamTest.java,collectedAndFiltered,0,0,0,0
optaplanner,/optaplanner-constraint-streams-bavet/src/test/java/org/optaplanner/constraint/streams/bavet/BavetAdvancedGroupByConstraintStreamTest.java,collectedFilteredRecollected,0,0,0,0
